custom_id,grade_method,grade_primary,scale_error,grader_verdict
fb-00005-para--haiku,ai_grader,incorrect,False,incorrect
fb-00005-para--opus,ai_grader,incorrect,False,incorrect
fb-00005-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00070-para--haiku,ai_grader,correct,False,correct
fb-00070-para--opus,ai_grader,correct,False,correct
fb-00070-para--sonnet,ai_grader,correct,False,correct
fb-00080-closedbook--haiku,refusal,refused,False,
fb-00080-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-00080-closedbook--sonnet,ai_grader,correct,False,correct
fb-00080-oracle--haiku,ai_grader,incorrect,False,incorrect
fb-00080-oracle--opus,ai_grader,incorrect,False,incorrect
fb-00080-oracle--sonnet,ai_grader,incorrect,False,incorrect
fb-00080-para--haiku,ai_grader,incorrect,False,incorrect
fb-00080-para--opus,ai_grader,incorrect,False,incorrect
fb-00080-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00206-para--haiku,refusal,refused,False,
fb-00206-para--opus,ai_grader,correct,False,correct
fb-00206-para--sonnet,refusal,refused,False,
fb-00215-closedbook--haiku,ai_grader,correct,False,correct
fb-00215-closedbook--opus,ai_grader,correct,False,correct
fb-00215-closedbook--sonnet,ai_grader,correct,False,correct
fb-00215-oracle--haiku,ai_grader,correct,False,correct
fb-00215-oracle--opus,ai_grader,correct,False,correct
fb-00215-oracle--sonnet,ai_grader,correct,False,correct
fb-00215-para--haiku,ai_grader,correct,False,correct
fb-00215-para--opus,ai_grader,correct,False,correct
fb-00215-para--sonnet,ai_grader,correct,False,correct
fb-00216-closedbook--haiku,refusal,refused,False,
fb-00216-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-00216-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-00216-oracle--haiku,ai_grader,incorrect,False,incorrect
fb-00216-oracle--opus,ai_grader,correct,False,correct
fb-00216-oracle--sonnet,ai_grader,correct,False,correct
fb-00216-para--haiku,ai_grader,incorrect,False,incorrect
fb-00216-para--opus,ai_grader,correct,False,correct
fb-00216-para--sonnet,ai_grader,correct,False,correct
fb-00222-para--haiku,ai_grader,incorrect,False,incorrect
fb-00222-para--opus,ai_grader,correct,False,correct
fb-00222-para--sonnet,ai_grader,correct,False,correct
fb-00283-closedbook--haiku,refusal,refused,False,
fb-00283-closedbook--opus,refusal,refused,False,
fb-00283-closedbook--sonnet,refusal,refused,False,
fb-00283-oracle--haiku,numeric_parser,incorrect,False,incorrect
fb-00283-oracle--opus,numeric_parser,incorrect,False,incorrect
fb-00283-oracle--sonnet,numeric_parser,incorrect,False,incorrect
fb-00283-para--haiku,numeric_parser,incorrect,False,incorrect
fb-00283-para--opus,numeric_parser,incorrect,False,incorrect
fb-00283-para--sonnet,numeric_parser,incorrect,False,incorrect
fb-00288-para--haiku,ai_grader,correct,False,correct
fb-00288-para--opus,ai_grader,correct,False,correct
fb-00288-para--sonnet,ai_grader,correct,False,correct
fb-00299-para--haiku,ai_grader,correct,False,correct
fb-00299-para--opus,ai_grader,incorrect,False,incorrect
fb-00299-para--sonnet,ai_grader,correct,False,correct
fb-00302-closedbook--haiku,ai_grader,correct,False,correct
fb-00302-closedbook--opus,ai_grader,correct,False,correct
fb-00302-closedbook--sonnet,ai_grader,correct,False,correct
fb-00302-oracle--haiku,ai_grader,correct,False,correct
fb-00302-oracle--opus,ai_grader,correct,False,correct
fb-00302-oracle--sonnet,ai_grader,correct,False,correct
fb-00302-para--haiku,ai_grader,correct,False,correct
fb-00302-para--opus,ai_grader,correct,False,correct
fb-00302-para--sonnet,ai_grader,correct,False,correct
fb-00382-closedbook--haiku,ai_grader,correct,False,correct
fb-00382-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-00382-closedbook--sonnet,ai_grader,correct,False,correct
fb-00382-oracle--haiku,ai_grader,correct,False,correct
fb-00382-oracle--opus,ai_grader,correct,False,correct
fb-00382-oracle--sonnet,ai_grader,correct,False,correct
fb-00382-para--haiku,ai_grader,correct,False,correct
fb-00382-para--opus,ai_grader,correct,False,correct
fb-00382-para--sonnet,ai_grader,correct,False,correct
fb-00394-para--haiku,ai_grader,correct,False,correct
fb-00394-para--opus,ai_grader,correct,False,correct
fb-00394-para--sonnet,ai_grader,correct,False,correct
fb-00407-closedbook--haiku,refusal,refused,False,
fb-00407-closedbook--opus,refusal,refused,False,
fb-00407-closedbook--sonnet,refusal,refused,False,
fb-00407-oracle--haiku,ai_grader,correct,False,correct
fb-00407-oracle--opus,ai_grader,correct,False,correct
fb-00407-oracle--sonnet,ai_grader,correct,False,correct
fb-00407-para--haiku,ai_grader,correct,False,correct
fb-00407-para--opus,ai_grader,correct,False,correct
fb-00407-para--sonnet,ai_grader,correct,False,correct
fb-00438-para--haiku,ai_grader,correct,False,correct
fb-00438-para--opus,ai_grader,correct,False,correct
fb-00438-para--sonnet,ai_grader,correct,False,correct
fb-00460-para--haiku,ai_grader,correct,False,correct
fb-00460-para--opus,ai_grader,correct,False,correct
fb-00460-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00464-para--haiku,ai_grader,correct,False,correct
fb-00464-para--opus,ai_grader,correct,False,correct
fb-00464-para--sonnet,ai_grader,correct,False,correct
fb-00476-para--haiku,refusal,refused,False,
fb-00476-para--opus,ai_grader,correct,False,correct
