batch_id,custom_id
b0000-haiku,fb-02416-para--haiku
b0000-haiku,fb-02416-oracle--haiku
b0000-haiku,fb-01290-para--haiku
b0001-haiku,fb-04735-para--haiku
b0001-haiku,fb-01107-para--haiku
b0001-haiku,fb-02024-para--haiku
b0001-haiku,fb-02024-oracle--haiku
b0002-haiku,fb-01009-para--haiku
b0002-haiku,fb-00215-para--haiku
b0002-haiku,fb-01009-oracle--haiku
b0002-haiku,fb-00215-oracle--haiku
b0002-haiku,fb-03849-para--haiku
b0002-haiku,fb-03849-oracle--haiku
b0003-haiku,fb-10420-para--haiku
b0003-haiku,fb-00540-para--haiku
b0003-haiku,fb-00839-para--haiku
b0003-haiku,fb-02419-para--haiku
b0003-haiku,fb-00206-para--haiku
b0003-haiku,fb-00283-para--haiku
b0003-haiku,fb-00283-oracle--haiku
b0004-haiku,fb-02419-oracle--haiku
b0004-haiku,fb-03856-para--haiku
b0004-haiku,fb-01935-para--haiku
b0004-haiku,fb-00917-para--haiku
b0004-haiku,fb-01981-para--haiku
b0004-haiku,fb-01912-para--haiku
b0004-haiku,fb-01912-oracle--haiku
b0004-haiku,fb-00724-para--haiku
b0005-haiku,fb-00724-oracle--haiku
b0005-haiku,fb-01198-para--haiku
b0005-haiku,fb-00882-para--haiku
b0005-haiku,fb-00288-para--haiku
b0005-haiku,fb-00705-para--haiku
b0005-haiku,fb-00882-oracle--haiku
b0005-haiku,fb-00705-oracle--haiku
b0005-haiku,fb-01077-para--haiku
b0006-haiku,fb-01902-para--haiku
b0006-haiku,fb-00494-para--haiku
b0006-haiku,fb-01079-para--haiku
b0006-haiku,fb-04254-para--haiku
b0006-haiku,fb-10136-para--haiku
b0006-haiku,fb-06741-para--haiku
b0006-haiku,fb-01858-para--haiku
b0006-haiku,fb-07966-para--haiku
b0006-haiku,fb-06741-oracle--haiku
b0007-haiku,fb-03473-para--haiku
b0007-haiku,fb-00790-para--haiku
b0007-haiku,fb-00464-para--haiku
b0007-haiku,fb-04458-oracle--haiku
b0007-haiku,fb-00476-para--haiku
b0007-haiku,fb-04458-para--haiku
b0007-haiku,fb-01091-para--haiku
b0007-haiku,fb-06272-para--haiku
b0007-haiku,fb-04103-para--haiku
b0008-haiku,fb-00859-para--haiku
b0008-haiku,fb-00859-oracle--haiku
b0008-haiku,fb-00995-para--haiku
b0008-haiku,fb-02049-para--haiku
b0008-haiku,fb-05915-para--haiku
b0008-haiku,fb-01244-para--haiku
b0008-haiku,fb-01148-para--haiku
b0008-haiku,fb-00566-para--haiku
b0008-haiku,fb-00566-oracle--haiku
b0008-haiku,fb-03620-oracle--haiku
b0009-haiku,fb-03620-para--haiku
b0009-haiku,fb-00757-para--haiku
b0009-haiku,fb-00460-para--haiku
b0009-haiku,fb-00746-para--haiku
b0009-haiku,fb-00746-oracle--haiku
b0009-haiku,fb-04481-oracle--haiku
b0009-haiku,fb-04481-para--haiku
b0009-haiku,fb-06247-oracle--haiku
b0009-haiku,fb-06247-para--haiku
b0009-haiku,fb-00407-para--haiku
b0009-haiku,fb-03069-para--haiku
b0010-haiku,fb-00407-oracle--haiku
b0010-haiku,fb-02987-para--haiku
b0010-haiku,fb-10130-para--haiku
b0010-haiku,fb-00606-para--haiku
b0010-haiku,fb-00711-para--haiku
b0010-haiku,fb-00606-oracle--haiku
b0010-haiku,fb-00601-para--haiku
b0010-haiku,fb-00601-oracle--haiku
b0010-haiku,fb-00394-para--haiku
b0010-haiku,fb-00822-para--haiku
b0010-haiku,fb-10499-para--haiku
b0011-haiku,fb-01911-para--haiku
b0011-haiku,fb-07661-para--haiku
b0011-haiku,fb-01911-oracle--haiku
b0011-haiku,fb-04854-para--haiku
b0011-haiku,fb-01226-para--haiku
b0011-haiku,fb-01928-para--haiku
b0011-haiku,fb-04412-oracle--haiku
b0011-haiku,fb-04412-para--haiku
b0011-haiku,fb-00941-para--haiku
b0011-haiku,fb-01346-para--haiku
b0011-haiku,fb-01351-para--haiku
b0011-haiku,fb-05718-para--haiku
b0012-haiku,fb-00070-para--haiku
b0012-haiku,fb-06655-para--haiku
b0012-haiku,fb-01328-para--haiku
b0012-haiku,fb-01328-oracle--haiku
b0012-haiku,fb-01254-para--haiku
b0012-haiku,fb-00735-oracle--haiku
b0012-haiku,fb-00735-para--haiku
b0012-haiku,fb-01254-oracle--haiku
b0012-haiku,fb-04080-oracle--haiku
b0012-haiku,fb-00563-para--haiku
b0012-haiku,fb-04080-para--haiku
b0012-haiku,fb-01163-para--haiku
b0013-haiku,fb-01319-para--haiku
b0013-haiku,fb-01163-oracle--haiku
b0013-haiku,fb-01275-para--haiku
b0013-haiku,fb-00591-para--haiku
b0013-haiku,fb-01865-para--haiku
b0013-haiku,fb-00216-para--haiku
b0013-haiku,fb-01964-para--haiku
b0013-haiku,fb-00216-oracle--haiku
