custom_id,single_refused,batched_refused,single_conf,batched_conf,gold_numeric,single_correct,batched_correct,answers_match
fb-00288-oracle--sonnet,False,False,80,88,False,,,
fb-00438-oracle--sonnet,False,False,85,80,False,,,
fb-00464-oracle--sonnet,False,False,85,92,False,,,
fb-00476-oracle--sonnet,True,True,85,88,False,,,
fb-00494-oracle--sonnet,False,False,80,80,False,,,
fb-00651-oracle--sonnet,False,False,75,72,False,,,
fb-00807-oracle--sonnet,False,False,78,65,False,,,
fb-01077-oracle--sonnet,False,False,85,85,False,,,
fb-01107-oracle--sonnet,False,False,68,65,False,,,
fb-01198-oracle--sonnet,False,False,92,92,False,,,
fb-01279-oracle--sonnet,False,False,92,92,False,,,
fb-01490-oracle--sonnet,False,False,85,85,False,,,
fb-01491-oracle--sonnet,False,False,90,95,False,,,
fb-01865-oracle--sonnet,False,False,80,80,False,,,
fb-01930-oracle--sonnet,False,False,70,55,False,,,
fb-01981-oracle--sonnet,False,False,88,88,False,,,
fb-02608-oracle--sonnet,False,False,72,78,True,True,True,True
fb-02981-oracle--sonnet,False,False,78,72,True,True,True,True
fb-03473-oracle--sonnet,False,False,65,85,True,False,False,False
fb-04103-oracle--sonnet,False,False,78,68,True,True,True,True
fb-04660-oracle--sonnet,False,False,92,88,True,True,True,True
fb-04854-oracle--sonnet,False,False,95,85,True,True,True,True
fb-05915-oracle--sonnet,False,False,88,70,True,True,True,True
fb-08135-oracle--sonnet,False,False,92,88,True,True,True,True
fb-10130-oracle--sonnet,False,False,78,68,True,True,True,True
fb-10285-oracle--sonnet,False,False,97,95,True,True,True,True
