financebench_id,question,paraphrase
financebench_id_00005,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.","Based on the FY2022 figures, did Corning maintain positive working capital? Should working capital not be a meaningful or applicable metric for this company, please indicate that and provide your reasoning."
financebench_id_00070,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.","Based on American Water Works' FY2022 figures, does the company have a positive amount of working capital? In case working capital isn't a meaningful or applicable metric for this business, please indicate that and provide the reasoning."
financebench_id_00080,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.","Based on PayPal's fiscal year 2022 figures, is its working capital positive? If working capital isn't a meaningful metric for this particular company, please indicate that and provide your reasoning."
financebench_id_00206,"Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Has JPM maintained relatively stable gross margins over time, staying within about a 2% variance year to year? If gross margin isn't a meaningful metric for this type of company, please say so and explain the reasoning."
financebench_id_00215,Is Verizon a capital intensive business based on FY 2022 data?,"Based on Verizon's fiscal year 2022 financial figures, would you classify its operations as capital intensive?"
financebench_id_00216,"Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","For fiscal year 2022, does Verizon exhibit a fairly sound liquidity position when assessed via its quick ratio? Should the quick ratio not be a suitable liquidity metric in this case, indicate that and provide the reasoning."
financebench_id_00222,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","For fiscal year 2022, does AMD maintain a sufficiently strong liquidity position when evaluated through its quick ratio? Should the quick ratio not be a suitable liquidity measure in this case, please indicate that and provide the reasoning."
financebench_id_00283,How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?,"What is the projected future payment amount, in USD million, that Pfizer anticipates for the Upjohn spin-off?"
financebench_id_00288,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,Did Cash & Cash equivalents decrease from FY 2023 to Q2 of FY2024?
financebench_id_00299,Which of JPM's business segments had the lowest net revenue in 2021 Q1?,"Among JPM's business segments, which one recorded the smallest net revenue during Q1 2021?"
financebench_id_00302,Did Pfizer grow its PPNE between FY20 and FY21?,"Between fiscal years 2020 and 2021, did Pfizer's PP&E increase?"
financebench_id_00382,Which region had the Highest EBITDAR Contribution for MGM during FY2022?,"For MGM, which region contributed the most to EBITDAR in fiscal year 2022?"
financebench_id_00394,"In 2022 Q2, which of JPM's business segments had the highest net income?","For the second quarter of 2022, which business segment of JPM reported the greatest net income?"
financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,"For MGM's short-term investments in H1 FY2023, which debt category attracted the highest amount of investment?"
financebench_id_00438,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.","For fiscal year 2022, has Adobe's operating margin trended upward? If operating margin isn't a meaningful measure for this type of company, say so and explain the reasoning."
financebench_id_00460,Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?,Did the total number of Best Buy stores change from Q2 FY2023 to Q2 FY2024?
financebench_id_00464,Is Boeing's business subject to cyclicality?,Does Boeing's business tend to fluctuate with economic cycles?
financebench_id_00476,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,"As of 2022, which of American Express' debt securities are listed for trading on a national securities exchange?"
financebench_id_00494,What production rate changes is Boeing forecasting for FY2023?,"For fiscal year 2023, what changes to its production rates is Boeing projecting?"
financebench_id_00499,Is 3M a capital-intensive business based on FY2022 data?,"Based on 3M's FY2022 financial data, would you characterize its business as capital-intensive?"
financebench_id_00517,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,"For fiscal year 2022, did Boeing have any product or service categories that accounted for over 20% of its total revenue?"
financebench_id_00521,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Which significant acquisitions did Ulta Beauty complete during fiscal years 2023 and 2022?
financebench_id_00540,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,"Approximately how many times did AES Corporation turn over its inventory during FY2022? Compute the FY2022 inventory turnover ratio; if standard inventory management doesn't meaningfully apply to this company, note that and explain the reasoning."
financebench_id_00552,Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?,Did Microsoft's balance sheet debt rise from FY2022 to FY2023?
financebench_id_00563,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?","Looking at AMD's segments other than Embedded, which one saw the largest percentage growth in sales between FY21 and FY22?"
financebench_id_00566,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?,Did Verizon's total debt reported on the balance sheet rise from fiscal year 2021 to fiscal year 2022?
financebench_id_00585,How does Boeing's effective tax rate in FY2022 compare to FY2021?,"Comparing FY2021 to FY2022, how did Boeing's effective tax rate change?"
financebench_id_00591,Does Adobe have an improving Free cashflow conversion as of FY2022?,"As of fiscal year 2022, has Adobe's free cash flow conversion been trending upward?"
financebench_id_00601,What drove the reduction in SG&A expense as a percent of net sales in FY2023?,What caused SG&A expense as a percentage of net sales to decrease in fiscal year 2023?
financebench_id_00603,What drove the increase in Ulta Beauty's merchandise inventories balance at end of FY2023?,What factors contributed to the rise in Ulta Beauty's merchandise inventories balance by the end of FY2023?
financebench_id_00605,What percent of Ulta Beauty's total spend on stock repurchases for FY 2023 occurred in Q4 of FY2023?,"For fiscal year 2023, what share of Ulta Beauty's total stock buyback expenditure was attributable to the fourth quarter?"
financebench_id_00606,Did Ulta Beauty's wages expense as a percent of net sales increase or decrease in FY2023?,"In FY2023, did Ulta Beauty's wages expense, measured as a percentage of net sales, go up or down?"
financebench_id_00651,Is growth in JnJ's adjusted EPS expected to accelerate in FY2023?,"For fiscal year 2023, is JnJ's adjusted EPS growth projected to speed up?"
financebench_id_00669,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why.","For fiscal year 2022, what factors caused the change in JnJ's gross margin? If gross margin isn't a meaningful metric for this type of company, please indicate that and explain the reasoning."
financebench_id_00678,"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.","For fiscal year 2022, has Boeing's gross margin been trending upward? If gross margin isn't a meaningful metric for this type of company, note that and explain the reasoning."
financebench_id_00684,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.","As of fiscal year 2023, has AMCOR's gross margin been trending upward? If gross margin isn't a meaningful metric for this type of company, note that and give the reasoning."
financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Has Best Buy maintained relatively stable gross margins over time, staying within about a 2% annual swing? If gross margin isn't a meaningful metric for this type of company, please note that and explain the reasoning."
financebench_id_00702,Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?,"In 2019, did Pfizer experience any non-recurring, outside-the-ordinary-course occurrences that meaningfully boosted its net income?"
financebench_id_00705,"By how much did Pepsico increase its unsecured five year revolving credit agreement on May 26, 2023?","What was the size of the increase Pepsico made to its unsecured five-year revolving credit agreement on May 26, 2023?"
financebench_id_00711,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,"Approximately how many times did JnJ turn over its inventory during FY2022? Compute the FY2022 inventory turnover ratio; if standard inventory management doesn't meaningfully apply to this company, note that and explain the reasoning."
financebench_id_00720,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.","For American Express's fiscal year 2022, what factors contributed to the change in gross margin? If gross margin isn't a meaningful metric for this type of company, please indicate that and provide the reasoning."
financebench_id_00723,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.","For fiscal year 2022, has American Express shown a trend of improving operating margins? If operating margin isn't a meaningful metric for this type of company, say so and explain the reason."
financebench_id_00724,"For Pfizer, which geographic region had the biggest drop in Q22023 year over year revenues (on a percentage basis)?","In terms of percentage decline, which of Pfizer's geographic regions experienced the largest year-over-year revenue drop in Q2 2023?"
financebench_id_00735,Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?,Did Pepsico disclose any significant ongoing litigation during FY2022 and FY2021?
financebench_id_00746,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,"As of fiscal year 2023, which of Ulta Beauty's debt securities are listed for trading on a national securities exchange?"
financebench_id_00757,Did AMD report customer concentration in FY22?,"In its fiscal year 2022 disclosures, did AMD report having concentration among its customers?"
financebench_id_00790,Is CVS Health a capital-intensive business based on FY2022 data?,"Based on the fiscal year 2022 figures, would you characterize CVS Health as a business that requires heavy capital investment?"
financebench_id_00799,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.","Between FY2022 and FY2023, did AMCOR's quick ratio go up or down? If a financial analyst wouldn't typically consider the quick ratio relevant for a company of this type, please note that and give your reasoning."
financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","For 3M's fiscal Q2 2023, does the company's quick ratio indicate a sufficiently sound liquidity position? Should the quick ratio not be an appropriate liquidity measure, note that and provide the reasoning."
financebench_id_00822,Were there any board member nominees who had substantially more votes against joining than the other nominees?,"Did any of the board nominees receive a noticeably higher number of ""against"" votes compared to the rest?"
financebench_id_00839,Does Foot Locker's new CEO have previous CEO experience in a similar company to Footlocker?,Has Foot Locker's newly appointed CEO previously served as CEO at a company comparable to Foot Locker?
financebench_id_00859,"Among all of the derivative instruments that Verizon used to manage the exposure to fluctuations of foreign currencies exchange rates or interest rates, which one had the highest notional value in FY 2021?","Looking at all the derivative instruments Verizon employed to hedge against foreign currency exchange rate or interest rate fluctuations, which single instrument carried the largest notional value in fiscal year 2021?"
financebench_id_00882,"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?","As of May 26, 2023, what is the maximum aggregate amount Pepsico is permitted to draw under its unsecured revolving credit agreements?"
financebench_id_00917,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.","For AMD's fiscal year 2022, what factors contributed to the shift in operating margin? If operating margin isn't a meaningful metric for this type of company, please indicate that and provide your reasoning."
financebench_id_00941,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,"As of the second quarter of 2023, which of 3M's debt securities are listed for trading on a national securities exchange?"
financebench_id_00956,Are JnJ's FY2022 financials that of a high growth company?,Do Johnson & Johnson's fiscal year 2022 financial results reflect a company experiencing rapid growth?
financebench_id_00995,What are the major products and services that AMD sells as of FY22?,"As of fiscal year 2022, what key products and services does AMD offer?"
financebench_id_01009,What are the geographies that Pepsico primarily operates in as of FY2022?,"As of fiscal year 2022, in which geographic regions does Pepsico mainly conduct its business?"
financebench_id_01028,What are the geographies that American Express primarily operates in as of 2022?,"As of 2022, in which regions does American Express mainly conduct its business?"
financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Which significant acquisitions did Best Buy complete during fiscal years 2021, 2022, and 2023?"
financebench_id_01079,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?","Which significant acquisitions did AMCOR complete during FY2021, FY2022, and FY2023?"
financebench_id_01091,Has Boeing reported any materially important ongoing legal battles from FY2022?,"For fiscal year 2022, did Boeing disclose any significant litigation or legal proceedings still unresolved?"
financebench_id_01107,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?","During fiscal years 2020, 2021, and 2022, did CVS Health disclose any significant, ongoing litigation matters?"
financebench_id_01148,What industry does AMCOR primarily operate in?,In which industry does AMCOR mainly conduct its business?
financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","For Nike in FY2023, which of the three activity categories—operating, investing, or financing—generated the largest positive cash flow, or, if all were negative, showed the smallest cash outflow?"
financebench_id_01198,What drove revenue change as of the FY22 for AMD?,"For AMD's fiscal year 2022, what were the main factors behind the change in revenue?"
financebench_id_01226,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","For fiscal year 2022, what factors contributed to the change in 3M's operating margin? If operating margin isn't a meaningful metric for this type of company, please say so and explain the reasoning."
financebench_id_01244,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,"For Q2 of fiscal year 2022, did CVS Health distribute dividends to its common shareholders?"
financebench_id_01254,Has MGM Resorts paid dividends to common shareholders in FY2022?,"During fiscal year 2022, did MGM Resorts distribute any dividends to holders of its common stock?"
