custom_id,grade_primary,grade_method
fb-00005-para--sonnet,incorrect,ai_grader
fb-00215-oracle--opus,correct,ai_grader
fb-00288-para--sonnet,correct,ai_grader
fb-00438-para--opus,correct,ai_grader
fb-00438-para--sonnet,correct,ai_grader
fb-00521-oracle--sonnet,correct,ai_grader
fb-00591-para--sonnet,correct,ai_grader
fb-00735-closedbook--sonnet,correct,ai_grader
fb-00735-oracle--haiku,correct,ai_grader
fb-00746-closedbook--sonnet,correct,ai_grader
fb-00859-para--sonnet,correct,ai_grader
fb-01079-para--haiku,correct,ai_grader
fb-01474-para--opus,correct,ai_grader
fb-01490-para--sonnet,correct,ai_grader
fb-01912-para--opus,correct,ai_grader
fb-01935-para--haiku,correct,ai_grader
fb-02416-closedbook--sonnet,incorrect,ai_grader
fb-02416-para--sonnet,correct,ai_grader
fb-03069-para--opus,incorrect,numeric_parser
fb-03620-para--sonnet,correct,numeric_parser
fb-03849-oracle--haiku,correct,numeric_parser
fb-03849-para--sonnet,correct,numeric_parser
fb-04080-closedbook--opus,correct,numeric_parser
fb-04209-para--haiku,correct,numeric_parser
fb-04458-oracle--sonnet,correct,numeric_parser
fb-04481-closedbook--opus,correct,numeric_parser
fb-05718-para--sonnet,incorrect,numeric_parser
fb-00070-oracle--haiku,correct,ai_grader
fb-00222-oracle--opus,correct,ai_grader
fb-00460-oracle--haiku,incorrect,ai_grader
fb-00494-oracle--haiku,correct,ai_grader
fb-00517-closedbook--sonnet,incorrect,ai_grader
fb-00540-oracle--opus,incorrect,ai_grader
fb-00540-oracle--sonnet,incorrect,ai_grader
fb-00563-closedbook--haiku,correct,ai_grader
fb-00651-oracle--haiku,correct,ai_grader
fb-00678-oracle--opus,correct,ai_grader
fb-00685-closedbook--sonnet,correct,ai_grader
fb-00720-closedbook--opus,correct,ai_grader
fb-00839-closedbook--sonnet,incorrect,ai_grader
fb-01028-closedbook--sonnet,incorrect,ai_grader
fb-01107-oracle--haiku,correct,ai_grader
fb-01936-oracle--haiku,correct,ai_grader
fb-03069-oracle--sonnet,incorrect,numeric_parser
fb-03473-oracle--sonnet,incorrect,numeric_parser
fb-03856-closedbook--opus,correct,numeric_parser
fb-04672-closedbook--opus,correct,numeric_parser
fb-07507-closedbook--sonnet,correct,numeric_parser
fb-08135-closedbook--haiku,correct,numeric_parser
fb-08135-closedbook--sonnet,correct,numeric_parser
fb-08286-closedbook--haiku,correct,numeric_parser
fb-08286-oracle--haiku,correct,numeric_parser
fb-08286-oracle--sonnet,correct,numeric_parser
fb-09724-oracle--sonnet,incorrect,numeric_parser
fb-10285-oracle--sonnet,correct,numeric_parser
fb-03882-para--opus,correct,numeric_parser
fsq-014-base--opus,correct,ai_grader
fsq-029-pert--haiku,correct,ai_grader
fsq-093-base--haiku,correct,ai_grader
fsq-105-base--haiku,correct,ai_grader
fsq-128-base--opus,correct,ai_grader
fsq-184-base--opus,correct,ai_grader
fsq-202-pert--opus,correct,ai_grader
