custom_id,model,setting,question_used,gold_answer,answer,confidence,grade_primary,grade_method,your_verdict,your_notes
fb-00382-para--sonnet,sonnet,para,"For MGM, which region contributed the most to EBITDAR in fiscal year 2022?",Las Vegas resorts contributed ~90% of company level EBITDAR during FY2022.,"Las Vegas Strip Resorts, with $3,142,308 thousand of Adjusted Property EBITDAR for the twelve months ended December 31, 2022.",90,correct,ai_grader,,
fb-01079-para--sonnet,sonnet,para,"Which significant acquisitions did AMCOR complete during FY2021, FY2022, and FY2023?","Amcor completed these acquisitions during FY2023:
-100% equity interest of a flexibles manufacturing company in the Czech Republic
- 100% equity interest in a medical device packaging manufacturing site in
Shanghai, China.
-acquisition of a New Zealand-based leading manufacturer of state-of-the-art, automated protein
packaging machines.",CANNOT ANSWER,80,refused,refusal,,
fb-01091-para--haiku,haiku,para,"For fiscal year 2022, did Boeing disclose any significant litigation or legal proceedings still unresolved?",Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines crash.,Yes,95,correct,ai_grader,,
fb-01476-oracle--opus,opus,oracle,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,1 percentage point (from 8% to 9% core constant currency EPS growth),95,correct,ai_grader,,
fb-01928-para--opus,opus,para,"For fiscal year 2023, what figure did AMCOR report as its Adjusted Non-GAAP EBITDA?","AMCOR's Adj. EBITDA was $2,018mn in FY 2023","$2,018 million Adjusted EBITDA for the twelve months ended June 30, 2023",95,correct,ai_grader,,
fb-01935-para--haiku,haiku,para,"What main topic did AMCOR address in its 8-K filing submitted on July 1, 2022?","Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)","Substitution of issuers on senior notes, specifically the substitution of Amcor Flexibles North America, Inc. (Substitute Issuer) for Amcor Finance (USA), Inc. (Former Issuer) under existing debt indentures.",90,correct,ai_grader,,
fb-02024-closedbook--haiku,haiku,closedbook,"As of FY 2021, how much did Verizon expect to pay for its retirees in 2024?","The estimated pension benefits were $1097 million, and the estimated health care and life insurance benefits were $862 million.",CANNOT ANSWER,10,refused,refusal,,
fb-02419-closedbook--sonnet,sonnet,closedbook,"As of Q2'2023, is Pfizer spinning off any large business segments?","Yes, it's spinning off Upjohn.","No, as of Q2 2023 Pfizer was not spinning off any large business segments (its major divestiture, the Upjohn spinoff that formed Viatris, had already been completed back in 2020).",45,incorrect,ai_grader,,
fb-03031-para--haiku,haiku,para,"Using only the figures presented on the balance sheet, and adopting the viewpoint of an investment analyst, calculate Lockheed Martin's net working capital for FY2021—computed as total current assets minus total current liabilities—expressing the result in millions of USD.",$5818.00,"$5,818 million",95,correct,numeric_parser,,
fb-04700-closedbook--haiku,haiku,closedbook,What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.,$32780.00,$38.4 billion,52,incorrect,numeric_parser,,
