qid,model,agree,method
00005,haiku,True,judge
00005,opus,True,judge
00005,sonnet,True,judge
00070,haiku,True,judge
00070,opus,True,judge
00070,sonnet,True,judge
00080,haiku,True,judge
00080,opus,True,judge
00080,sonnet,True,judge
00206,haiku,False,refusal
00206,opus,True,judge
00206,sonnet,False,refusal
00215,haiku,True,judge
00215,opus,True,judge
00215,sonnet,True,judge
00216,haiku,True,judge
00216,opus,True,judge
00216,sonnet,True,judge
00222,haiku,False,judge
00222,opus,True,judge
00222,sonnet,False,judge
00283,haiku,False,numeric
00283,opus,True,numeric
00283,sonnet,True,numeric
00288,haiku,True,judge
00288,opus,True,judge
00288,sonnet,True,judge
00299,haiku,True,judge
00299,opus,True,judge
00299,sonnet,True,judge
00302,haiku,True,judge
00302,opus,True,judge
00302,sonnet,True,judge
00382,haiku,True,judge
00382,opus,True,judge
00382,sonnet,True,judge
00394,haiku,True,judge
00394,opus,True,judge
00394,sonnet,True,judge
00407,haiku,True,judge
00407,opus,True,judge
00407,sonnet,True,judge
00438,haiku,True,judge
00438,opus,True,judge
00438,sonnet,True,judge
00460,haiku,True,judge
00460,opus,True,judge
00460,sonnet,True,judge
00464,haiku,True,judge
00464,opus,True,judge
00464,sonnet,True,judge
00476,haiku,False,refusal
00476,opus,True,judge
00476,sonnet,False,refusal
00494,haiku,True,judge
00494,opus,True,judge
00494,sonnet,True,judge
00499,haiku,True,judge
00499,opus,True,judge
00499,sonnet,True,judge
00517,haiku,True,judge
00517,opus,True,judge
00517,sonnet,True,judge
00521,haiku,False,refusal
00521,opus,True,judge
00521,sonnet,True,judge
00540,haiku,False,judge
00540,opus,True,judge
00540,sonnet,True,judge
00552,haiku,True,judge
00552,opus,True,judge
00552,sonnet,True,judge
00563,haiku,True,judge
00563,opus,True,judge
00563,sonnet,True,judge
00566,haiku,True,judge
00566,opus,True,judge
00566,sonnet,True,judge
00585,haiku,True,judge
00585,opus,True,judge
00585,sonnet,True,judge
00591,haiku,True,judge
00591,opus,True,judge
00591,sonnet,True,judge
00601,haiku,False,refusal
00601,opus,True,judge
00601,sonnet,False,refusal
00603,haiku,False,refusal
00603,opus,True,judge
00603,sonnet,False,refusal
00605,haiku,False,refusal
00605,opus,True,judge
00605,sonnet,True,judge
00606,haiku,False,refusal
00606,opus,True,judge
00606,sonnet,False,refusal
00651,haiku,True,judge
00651,opus,True,judge
00651,sonnet,False,refusal
00669,haiku,True,judge
00669,opus,True,judge
00669,sonnet,True,judge
00678,haiku,True,judge
00678,opus,True,judge
00678,sonnet,False,judge
00684,haiku,True,judge
00684,opus,True,judge
00684,sonnet,True,judge
00685,haiku,True,judge
00685,opus,True,judge
00685,sonnet,True,judge
00702,haiku,True,judge
00702,opus,True,judge
00702,sonnet,True,judge
00705,haiku,True,numeric
00705,opus,True,numeric
00705,sonnet,True,numeric
00711,haiku,True,judge
00711,opus,True,judge
00711,sonnet,True,judge
00720,haiku,True,judge
00720,opus,True,judge
00720,sonnet,True,judge
00723,haiku,False,judge
00723,opus,True,judge
00723,sonnet,False,judge
00724,haiku,True,judge
00724,opus,True,judge
00724,sonnet,True,judge
00735,haiku,True,judge
00735,opus,True,judge
00735,sonnet,True,judge
00746,haiku,False,refusal
00746,opus,True,judge
00746,sonnet,True,judge
00757,haiku,True,judge
00757,opus,True,judge
00757,sonnet,True,judge
00790,haiku,False,judge
00790,opus,True,judge
00790,sonnet,True,judge
00799,haiku,True,judge
00799,opus,True,judge
00799,sonnet,True,judge
00807,haiku,True,judge
00807,opus,True,judge
00807,sonnet,False,judge
00822,haiku,True,judge
00822,opus,True,judge
00822,sonnet,False,judge
00839,haiku,False,judge
00839,opus,True,judge
00839,sonnet,True,judge
00859,haiku,True,judge
00859,opus,True,judge
00859,sonnet,True,judge
00882,haiku,True,judge
00882,opus,True,judge
00882,sonnet,True,judge
00917,haiku,True,judge
00917,opus,True,judge
00917,sonnet,True,judge
00941,haiku,True,judge
00941,opus,True,judge
00941,sonnet,True,judge
00956,haiku,True,judge
00956,opus,True,judge
00956,sonnet,True,judge
00995,haiku,True,judge
00995,opus,True,judge
00995,sonnet,True,judge
01009,haiku,True,judge
01009,opus,True,judge
01009,sonnet,True,judge
01028,haiku,True,judge
01028,opus,True,judge
01028,sonnet,True,judge
01077,haiku,False,refusal
01077,opus,True,judge
01077,sonnet,True,judge
01079,haiku,False,refusal
01079,opus,False,refusal
01079,sonnet,False,refusal
01091,haiku,False,judge
01091,opus,True,judge
01091,sonnet,True,judge
01107,haiku,False,judge
01107,opus,True,judge
01107,sonnet,True,judge
01148,haiku,True,judge
01148,opus,True,judge
01148,sonnet,True,judge
01163,haiku,True,judge
01163,opus,True,judge
01163,sonnet,True,judge
01198,haiku,True,judge
01198,opus,True,judge
01198,sonnet,True,judge
01226,haiku,True,judge
01226,opus,True,judge
01226,sonnet,True,judge
01244,haiku,True,judge
01244,opus,True,judge
01244,sonnet,True,judge
01254,haiku,True,judge
01254,opus,True,judge
01254,sonnet,True,judge
01275,haiku,True,judge
01275,opus,True,judge
01275,sonnet,True,judge
01279,haiku,True,judge
01279,opus,True,judge
01279,sonnet,True,judge
01290,haiku,True,judge
01290,opus,True,judge
01290,sonnet,False,refusal
01319,haiku,True,numeric
01319,opus,True,numeric
01319,sonnet,True,numeric
01328,haiku,True,judge
01328,opus,True,judge
01328,sonnet,True,judge
01346,haiku,True,judge
01346,opus,True,judge
01346,sonnet,True,judge
01351,haiku,True,judge
01351,opus,True,judge
01351,sonnet,True,judge
01474,haiku,True,judge
01474,opus,True,judge
01474,sonnet,True,judge
01476,haiku,True,judge
01476,opus,True,judge
01476,sonnet,True,judge
01482,haiku,True,judge
01482,opus,True,judge
01482,sonnet,True,judge
01484,haiku,True,judge
01484,opus,True,judge
01484,sonnet,True,judge
01487,haiku,True,judge
01487,opus,True,judge
01487,sonnet,True,judge
01488,haiku,True,judge
01488,opus,True,judge
01488,sonnet,True,judge
01490,haiku,True,judge
01490,opus,True,judge
01490,sonnet,True,judge
01491,haiku,True,judge
01491,opus,True,judge
01491,sonnet,True,judge
01858,haiku,True,judge
01858,opus,True,judge
01858,sonnet,False,refusal
01865,haiku,True,judge
01865,opus,True,judge
01865,sonnet,True,judge
01902,haiku,False,refusal
01902,opus,False,refusal
01902,sonnet,False,refusal
01911,haiku,True,judge
01911,opus,True,judge
01911,sonnet,False,refusal
01912,haiku,True,judge
01912,opus,True,judge
01912,sonnet,True,judge
01928,haiku,True,judge
01928,opus,True,judge
01928,sonnet,True,judge
01930,haiku,False,judge
01930,opus,True,judge
01930,sonnet,False,refusal
01935,haiku,True,judge
01935,opus,True,judge
01935,sonnet,True,judge
01936,haiku,True,judge
01936,opus,True,judge
01936,sonnet,True,judge
01964,haiku,True,judge
01964,opus,True,judge
01964,sonnet,True,judge
01981,haiku,True,judge
01981,opus,True,judge
01981,sonnet,True,judge
02024,haiku,True,judge
02024,opus,True,judge
02024,sonnet,True,judge
02049,haiku,True,judge
02049,opus,True,judge
02049,sonnet,True,judge
02119,haiku,False,refusal
02119,opus,False,refusal
02119,sonnet,False,refusal
02416,haiku,True,judge
02416,opus,True,judge
02416,sonnet,True,judge
02419,haiku,True,judge
02419,opus,True,judge
02419,sonnet,True,judge
02608,haiku,True,numeric
02608,opus,True,numeric
02608,sonnet,True,numeric
02981,haiku,True,numeric
02981,opus,True,numeric
02981,sonnet,True,numeric
02987,haiku,True,numeric
02987,opus,True,numeric
02987,sonnet,True,numeric
03029,haiku,True,numeric
03029,opus,True,numeric
03029,sonnet,True,numeric
03031,haiku,True,numeric
03031,opus,True,numeric
03031,sonnet,True,numeric
03069,haiku,True,numeric
03069,opus,False,numeric
03069,sonnet,False,numeric
03282,haiku,True,numeric
03282,opus,True,numeric
03282,sonnet,True,numeric
03471,haiku,True,numeric
03471,opus,True,numeric
03471,sonnet,True,numeric
03473,haiku,True,numeric
03473,opus,False,numeric
03473,sonnet,False,numeric
03531,haiku,True,numeric
03531,opus,True,numeric
03531,sonnet,True,numeric
03620,haiku,False,numeric
03620,opus,True,numeric
03620,sonnet,True,numeric
03718,haiku,True,numeric
03718,opus,True,numeric
03718,sonnet,True,numeric
03838,haiku,True,numeric
03838,opus,True,numeric
03838,sonnet,True,numeric
03849,haiku,True,numeric
03849,opus,True,numeric
03849,sonnet,True,numeric
03856,haiku,True,numeric
03856,opus,True,numeric
03856,sonnet,True,numeric
03882,haiku,True,numeric
03882,opus,True,numeric
03882,sonnet,True,numeric
04080,haiku,True,numeric
04080,opus,True,numeric
04080,sonnet,True,numeric
04103,haiku,False,numeric
04103,opus,True,numeric
04103,sonnet,True,numeric
04171,haiku,True,numeric
04171,opus,True,numeric
04171,sonnet,True,numeric
04209,haiku,True,numeric
04209,opus,True,numeric
04209,sonnet,True,numeric
04254,haiku,True,numeric
04254,opus,True,numeric
04254,sonnet,True,numeric
04302,haiku,True,numeric
04302,opus,True,numeric
04302,sonnet,True,numeric
04412,haiku,True,numeric
04412,opus,True,numeric
04412,sonnet,True,numeric
04417,haiku,True,numeric
04417,opus,True,numeric
04417,sonnet,True,numeric
04458,haiku,True,numeric
04458,opus,True,numeric
04458,sonnet,True,numeric
04481,haiku,True,numeric
04481,opus,True,numeric
04481,sonnet,True,numeric
04660,haiku,True,numeric
04660,opus,False,numeric
04660,sonnet,True,numeric
04672,haiku,True,numeric
04672,opus,True,numeric
04672,sonnet,True,numeric
04700,haiku,True,numeric
04700,opus,True,numeric
04700,sonnet,True,numeric
04735,haiku,True,numeric
04735,opus,True,numeric
04735,sonnet,True,numeric
04784,haiku,True,numeric
04784,opus,True,numeric
04784,sonnet,True,numeric
04854,haiku,True,numeric
04854,opus,True,numeric
04854,sonnet,True,numeric
04980,haiku,True,numeric
04980,opus,True,numeric
04980,sonnet,True,numeric
05718,haiku,True,numeric
05718,opus,True,numeric
05718,sonnet,True,numeric
05915,haiku,True,numeric
05915,opus,True,numeric
05915,sonnet,True,numeric
06247,haiku,True,numeric
06247,opus,True,numeric
06247,sonnet,True,numeric
06272,haiku,True,numeric
06272,opus,True,numeric
06272,sonnet,False,numeric
06655,haiku,True,numeric
06655,opus,True,numeric
06655,sonnet,True,numeric
06741,haiku,True,numeric
06741,opus,True,numeric
06741,sonnet,True,numeric
07507,haiku,True,numeric
07507,opus,True,numeric
07507,sonnet,True,numeric
07661,haiku,True,numeric
07661,opus,True,numeric
07661,sonnet,True,numeric
07966,haiku,True,numeric
07966,opus,True,numeric
07966,sonnet,True,numeric
08135,haiku,True,numeric
08135,opus,True,numeric
08135,sonnet,True,numeric
08286,haiku,True,numeric
08286,opus,True,numeric
08286,sonnet,True,numeric
09724,haiku,True,numeric
09724,opus,True,numeric
09724,sonnet,False,numeric
10130,haiku,True,numeric
10130,opus,True,numeric
10130,sonnet,True,numeric
10136,haiku,True,numeric
10136,opus,True,numeric
10136,sonnet,True,numeric
10285,haiku,True,numeric
10285,opus,True,numeric
10285,sonnet,True,numeric
10420,haiku,False,numeric
10420,opus,False,numeric
10420,sonnet,False,numeric
10499,haiku,True,numeric
10499,opus,True,numeric
10499,sonnet,True,numeric
