qid,model,agree,method
00005,haiku,,judge
00005,opus,,judge
00005,sonnet,,judge
00070,haiku,,judge
00070,opus,,judge
00070,sonnet,,judge
00080,haiku,,judge
00080,opus,,judge
00080,sonnet,,judge
00206,haiku,False,refusal
00206,opus,,judge
00206,sonnet,False,refusal
00215,haiku,,judge
00215,opus,,judge
00215,sonnet,,judge
00216,haiku,,judge
00216,opus,,judge
00216,sonnet,,judge
00222,haiku,,judge
00222,opus,,judge
00222,sonnet,,judge
00283,haiku,False,numeric
00283,opus,True,numeric
00283,sonnet,True,numeric
00288,haiku,,judge
00288,opus,,judge
00288,sonnet,,judge
00299,haiku,,judge
00299,opus,,judge
00299,sonnet,,judge
00302,haiku,,judge
00302,opus,,judge
00302,sonnet,,judge
00382,haiku,,judge
00382,opus,,judge
00382,sonnet,,judge
00394,haiku,,judge
00394,opus,,judge
00394,sonnet,,judge
00407,haiku,,judge
00407,opus,,judge
00407,sonnet,,judge
00438,haiku,,judge
00438,opus,,judge
00438,sonnet,,judge
00460,haiku,,judge
00460,opus,,judge
00460,sonnet,,judge
00464,haiku,,judge
00464,opus,,judge
00464,sonnet,,judge
00476,haiku,False,refusal
00476,opus,,judge
00476,sonnet,False,refusal
00494,haiku,,judge
00494,opus,,judge
00494,sonnet,,judge
00499,haiku,,judge
00499,opus,,judge
00499,sonnet,,judge
00517,haiku,,judge
00517,opus,,judge
00517,sonnet,,judge
00521,haiku,False,refusal
00521,opus,,judge
00521,sonnet,,judge
00540,haiku,,judge
00540,opus,,judge
00540,sonnet,,judge
00552,haiku,,judge
00552,opus,,judge
00552,sonnet,,judge
00563,haiku,,judge
00563,opus,,judge
00563,sonnet,,judge
00566,haiku,,judge
00566,opus,,judge
00566,sonnet,,judge
00585,haiku,,judge
00585,opus,,judge
00585,sonnet,,judge
00591,haiku,,judge
00591,opus,,judge
00591,sonnet,,judge
00601,haiku,False,refusal
00601,opus,,judge
00601,sonnet,False,refusal
00603,haiku,False,refusal
00603,opus,,judge
00603,sonnet,False,refusal
00605,haiku,False,refusal
00605,opus,,judge
00605,sonnet,,judge
00606,haiku,False,refusal
00606,opus,,judge
00606,sonnet,False,refusal
00651,haiku,,judge
00651,opus,,judge
00651,sonnet,False,refusal
00669,haiku,,judge
00669,opus,,judge
00669,sonnet,,judge
00678,haiku,,judge
00678,opus,,judge
00678,sonnet,,judge
00684,haiku,,judge
00684,opus,,judge
00684,sonnet,,judge
00685,haiku,,judge
00685,opus,,judge
00685,sonnet,,judge
00702,haiku,,judge
00702,opus,,judge
00702,sonnet,,judge
00705,haiku,True,numeric
00705,opus,True,numeric
00705,sonnet,True,numeric
00711,haiku,,judge
00711,opus,,judge
00711,sonnet,,judge
00720,haiku,,judge
00720,opus,,judge
00720,sonnet,,judge
00723,haiku,,judge
00723,opus,,judge
00723,sonnet,,judge
00724,haiku,,judge
00724,opus,,judge
00724,sonnet,,judge
00735,haiku,,judge
00735,opus,,judge
00735,sonnet,,judge
00746,haiku,False,refusal
00746,opus,,judge
00746,sonnet,,judge
00757,haiku,,judge
00757,opus,,judge
00757,sonnet,,judge
00790,haiku,,judge
00790,opus,,judge
00790,sonnet,,judge
00799,haiku,,judge
00799,opus,,judge
00799,sonnet,,judge
00807,haiku,,judge
00807,opus,,judge
00807,sonnet,,judge
00822,haiku,,judge
00822,opus,,judge
00822,sonnet,,judge
00839,haiku,,judge
00839,opus,,judge
00839,sonnet,,judge
00859,haiku,,judge
00859,opus,,judge
00859,sonnet,,judge
00882,haiku,,judge
00882,opus,,judge
00882,sonnet,,judge
00917,haiku,,judge
00917,opus,,judge
00917,sonnet,,judge
00941,haiku,,judge
00941,opus,,judge
00941,sonnet,,judge
00956,haiku,,judge
00956,opus,,judge
00956,sonnet,,judge
00995,haiku,,judge
00995,opus,,judge
00995,sonnet,,judge
01009,haiku,,judge
01009,opus,,judge
01009,sonnet,,judge
01028,haiku,,judge
01028,opus,,judge
01028,sonnet,,judge
01077,haiku,False,refusal
01077,opus,,judge
01077,sonnet,,judge
01079,haiku,False,refusal
01079,opus,False,refusal
01079,sonnet,False,refusal
01091,haiku,,judge
01091,opus,,judge
01091,sonnet,,judge
01107,haiku,,judge
01107,opus,,judge
01107,sonnet,,judge
01148,haiku,,judge
01148,opus,,judge
01148,sonnet,,judge
01163,haiku,,judge
01163,opus,,judge
01163,sonnet,,judge
01198,haiku,,judge
01198,opus,,judge
01198,sonnet,,judge
01226,haiku,,judge
01226,opus,,judge
01226,sonnet,,judge
01244,haiku,,judge
01244,opus,,judge
01244,sonnet,,judge
01254,haiku,,judge
01254,opus,,judge
01254,sonnet,,judge
01275,haiku,,judge
01275,opus,,judge
01275,sonnet,,judge
01279,haiku,,judge
01279,opus,,judge
01279,sonnet,,judge
01290,haiku,,judge
01290,opus,,judge
01290,sonnet,False,refusal
01319,haiku,True,numeric
01319,opus,True,numeric
01319,sonnet,True,numeric
01328,haiku,,judge
01328,opus,,judge
01328,sonnet,,judge
01346,haiku,,judge
01346,opus,,judge
01346,sonnet,,judge
01351,haiku,,judge
01351,opus,,judge
01351,sonnet,,judge
01474,haiku,,judge
01474,opus,,judge
01474,sonnet,,judge
01476,haiku,,judge
01476,opus,,judge
01476,sonnet,,judge
01482,haiku,,judge
01482,opus,,judge
01482,sonnet,,judge
01484,haiku,,judge
01484,opus,,judge
01484,sonnet,,judge
01487,haiku,,judge
01487,opus,,judge
01487,sonnet,,judge
01488,haiku,,judge
01488,opus,,judge
01488,sonnet,,judge
01490,haiku,,judge
01490,opus,,judge
01490,sonnet,,judge
01491,haiku,,judge
01491,opus,,judge
01491,sonnet,,judge
01858,haiku,,judge
01858,opus,,judge
01858,sonnet,False,refusal
01865,haiku,,judge
01865,opus,,judge
01865,sonnet,,judge
01902,haiku,False,refusal
01902,opus,False,refusal
01902,sonnet,False,refusal
01911,haiku,,judge
01911,opus,,judge
01911,sonnet,False,refusal
01912,haiku,,judge
01912,opus,,judge
01912,sonnet,,judge
01928,haiku,,judge
01928,opus,,judge
01928,sonnet,,judge
01930,haiku,,judge
01930,opus,,judge
01930,sonnet,False,refusal
01935,haiku,,judge
01935,opus,,judge
01935,sonnet,,judge
01936,haiku,,judge
01936,opus,,judge
01936,sonnet,,judge
01964,haiku,,judge
01964,opus,,judge
01964,sonnet,,judge
01981,haiku,,judge
01981,opus,,judge
01981,sonnet,,judge
