batch_id,custom_id
f0000-haiku,fsq-014-pert--haiku
f0000-haiku,fsq-014-base--haiku
f0001-haiku,fsq-203-unans--haiku
f0001-haiku,fsq-203-base--haiku
f0002-haiku,fsq-203-pert--haiku
f0002-haiku,fsq-021-unans--haiku
f0003-haiku,fsq-021-base--haiku
f0003-haiku,fsq-021-pert--haiku
f0004-haiku,fsq-080-base--haiku
f0004-haiku,fsq-080-pert--haiku
f0005-haiku,fsq-084-pert--haiku
f0005-haiku,fsq-084-base--haiku
f0006-haiku,fsq-004-base--haiku
f0006-haiku,fsq-004-pert--haiku
f0007-haiku,fsq-134-base--haiku
f0007-haiku,fsq-134-pert--haiku
f0008-haiku,fsq-074-pert--haiku
f0008-haiku,fsq-074-base--haiku
f0009-haiku,fsq-180-pert--haiku
f0009-haiku,fsq-180-base--haiku
f0010-haiku,fsq-202-base--haiku
f0010-haiku,fsq-202-pert--haiku
f0011-haiku,fsq-161-base--haiku
f0011-haiku,fsq-161-unans--haiku
f0012-haiku,fsq-161-pert--haiku
f0012-haiku,fsq-037-base--haiku
f0013-haiku,fsq-037-pert--haiku
f0013-haiku,fsq-037-unans--haiku
f0014-haiku,fsq-204-pert--haiku
f0014-haiku,fsq-204-base--haiku
f0015-haiku,fsq-139-unans--haiku
f0015-haiku,fsq-139-base--haiku
f0016-haiku,fsq-058-pert--haiku
f0016-haiku,fsq-058-base--haiku
f0017-haiku,fsq-109-base--haiku
f0017-haiku,fsq-109-unans--haiku
f0018-haiku,fsq-109-pert--haiku
f0018-haiku,fsq-139-pert--haiku
f0019-haiku,fsq-029-base--haiku
f0019-haiku,fsq-029-unans--haiku
f0020-haiku,fsq-029-pert--haiku
f0020-haiku,fsq-093-base--haiku
f0021-haiku,fsq-093-unans--haiku
f0021-haiku,fsq-093-pert--haiku
f0022-haiku,fsq-171-unans--haiku
f0022-haiku,fsq-171-base--haiku
f0023-haiku,fsq-110-pert--haiku
f0023-haiku,fsq-110-base--haiku
f0024-haiku,fsq-092-pert--haiku
f0024-haiku,fsq-092-base--haiku
f0025-haiku,fsq-128-base--haiku
f0025-haiku,fsq-128-pert--haiku
f0026-haiku,fsq-120-base--haiku
f0026-haiku,fsq-120-pert--haiku
f0027-haiku,fsq-105-unans--haiku
f0027-haiku,fsq-105-base--haiku
f0028-haiku,fsq-105-pert--haiku
f0028-haiku,fsq-171-pert--haiku
f0029-haiku,fsq-140-base--haiku
f0029-haiku,fsq-140-pert--haiku
f0030-haiku,fsq-008-pert--haiku
f0030-haiku,fsq-008-base--haiku
f0031-haiku,fsq-019-unans--haiku
f0031-haiku,fsq-019-base--haiku
f0032-haiku,fsq-137-unans--haiku
f0032-haiku,fsq-137-base--haiku
f0033-haiku,fsq-137-pert--haiku
f0033-haiku,fsq-155-base--haiku
f0034-haiku,fsq-155-unans--haiku
f0034-haiku,fsq-019-pert--haiku
f0035-haiku,fsq-155-pert--haiku
f0035-haiku,fsq-184-base--haiku
f0036-haiku,fsq-184-pert--haiku
f0036-haiku,fsq-143-base--haiku
f0036-haiku,fsq-143-unans--haiku
f0037-haiku,fsq-197-base--haiku
f0037-haiku,fsq-197-unans--haiku
f0037-haiku,fsq-197-pert--haiku
f0038-haiku,fsq-175-unans--haiku
f0038-haiku,fsq-175-base--haiku
f0038-haiku,fsq-143-pert--haiku
f0039-haiku,fsq-121-base--haiku
f0039-haiku,fsq-121-unans--haiku
f0039-haiku,fsq-121-pert--haiku
f0040-haiku,fsq-175-pert--haiku
f0040-haiku,fsq-108-pert--haiku
f0040-haiku,fsq-108-base--haiku
f0041-haiku,fsq-114-pert--haiku
f0041-haiku,fsq-114-base--haiku
f0041-haiku,fsq-023-unans--haiku
f0042-haiku,fsq-023-base--haiku
f0042-haiku,fsq-023-pert--haiku
f0042-haiku,fsq-211-unans--haiku
f0043-haiku,fsq-211-base--haiku
f0043-haiku,fsq-211-pert--haiku
f0043-haiku,fsq-214-base--haiku
f0044-haiku,fsq-214-pert--haiku
f0044-haiku,fsq-147-unans--haiku
f0044-haiku,fsq-147-base--haiku
f0045-haiku,fsq-147-pert--haiku
f0045-haiku,fsq-092-unans--haiku
f0045-haiku,fsq-084-unans--haiku
f0046-haiku,fsq-128-unans--haiku
f0046-haiku,fsq-120-unans--haiku
f0046-haiku,fsq-114-unans--haiku
f0047-haiku,fsq-184-unans--haiku
f0047-haiku,fsq-204-unans--haiku
f0047-haiku,fsq-140-unans--haiku
f0048-haiku,fsq-074-unans--haiku
f0048-haiku,fsq-108-unans--haiku
f0048-haiku,fsq-110-unans--haiku
f0049-haiku,fsq-058-unans--haiku
f0049-haiku,fsq-202-unans--haiku
f0049-haiku,fsq-134-unans--haiku
f0050-haiku,fsq-214-unans--haiku
f0050-haiku,fsq-008-unans--haiku
f0050-haiku,fsq-004-unans--haiku
f0051-haiku,fsq-080-unans--haiku
f0051-haiku,fsq-014-unans--haiku
f0051-haiku,fsq-180-unans--haiku
f0052-sonnet,fsq-014-pert--sonnet
f0052-sonnet,fsq-014-base--sonnet
f0053-sonnet,fsq-203-unans--sonnet
f0053-sonnet,fsq-203-base--sonnet
f0054-sonnet,fsq-203-pert--sonnet
f0054-sonnet,fsq-021-unans--sonnet
f0055-sonnet,fsq-021-base--sonnet
f0055-sonnet,fsq-021-pert--sonnet
f0056-sonnet,fsq-080-base--sonnet
f0056-sonnet,fsq-080-pert--sonnet
f0057-sonnet,fsq-084-pert--sonnet
f0057-sonnet,fsq-084-base--sonnet
f0058-sonnet,fsq-004-base--sonnet
f0058-sonnet,fsq-004-pert--sonnet
f0059-sonnet,fsq-134-base--sonnet
f0059-sonnet,fsq-134-pert--sonnet
f0060-sonnet,fsq-074-pert--sonnet
f0060-sonnet,fsq-074-base--sonnet
f0061-sonnet,fsq-180-pert--sonnet
f0061-sonnet,fsq-180-base--sonnet
f0062-sonnet,fsq-202-base--sonnet
f0062-sonnet,fsq-202-pert--sonnet
f0063-sonnet,fsq-161-base--sonnet
f0063-sonnet,fsq-161-unans--sonnet
f0064-sonnet,fsq-161-pert--sonnet
f0064-sonnet,fsq-037-base--sonnet
f0065-sonnet,fsq-037-pert--sonnet
f0065-sonnet,fsq-037-unans--sonnet
f0066-sonnet,fsq-204-pert--sonnet
f0066-sonnet,fsq-204-base--sonnet
f0067-sonnet,fsq-139-unans--sonnet
f0067-sonnet,fsq-139-base--sonnet
f0068-sonnet,fsq-058-pert--sonnet
f0068-sonnet,fsq-058-base--sonnet
f0069-sonnet,fsq-109-base--sonnet
f0069-sonnet,fsq-109-unans--sonnet
f0070-sonnet,fsq-109-pert--sonnet
f0070-sonnet,fsq-139-pert--sonnet
f0071-sonnet,fsq-029-base--sonnet
f0071-sonnet,fsq-029-unans--sonnet
f0072-sonnet,fsq-029-pert--sonnet
f0072-sonnet,fsq-093-base--sonnet
f0073-sonnet,fsq-093-unans--sonnet
f0073-sonnet,fsq-093-pert--sonnet
f0074-sonnet,fsq-171-unans--sonnet
f0074-sonnet,fsq-171-base--sonnet
f0075-sonnet,fsq-110-pert--sonnet
f0075-sonnet,fsq-110-base--sonnet
f0076-sonnet,fsq-092-pert--sonnet
f0076-sonnet,fsq-092-base--sonnet
f0077-sonnet,fsq-128-base--sonnet
f0077-sonnet,fsq-128-pert--sonnet
f0078-sonnet,fsq-120-base--sonnet
f0078-sonnet,fsq-120-pert--sonnet
f0079-sonnet,fsq-105-unans--sonnet
f0079-sonnet,fsq-105-base--sonnet
f0080-sonnet,fsq-105-pert--sonnet
f0080-sonnet,fsq-171-pert--sonnet
f0081-sonnet,fsq-140-base--sonnet
f0081-sonnet,fsq-140-pert--sonnet
f0082-sonnet,fsq-008-pert--sonnet
f0082-sonnet,fsq-008-base--sonnet
f0083-sonnet,fsq-019-unans--sonnet
f0083-sonnet,fsq-019-base--sonnet
f0084-sonnet,fsq-137-unans--sonnet
f0084-sonnet,fsq-137-base--sonnet
f0085-sonnet,fsq-137-pert--sonnet
f0085-sonnet,fsq-155-base--sonnet
f0086-sonnet,fsq-155-unans--sonnet
f0086-sonnet,fsq-019-pert--sonnet
f0087-sonnet,fsq-155-pert--sonnet
f0087-sonnet,fsq-184-base--sonnet
f0088-sonnet,fsq-184-pert--sonnet
f0088-sonnet,fsq-143-base--sonnet
f0088-sonnet,fsq-143-unans--sonnet
f0089-sonnet,fsq-197-base--sonnet
f0089-sonnet,fsq-197-unans--sonnet
f0089-sonnet,fsq-197-pert--sonnet
f0090-sonnet,fsq-175-unans--sonnet
f0090-sonnet,fsq-175-base--sonnet
f0090-sonnet,fsq-143-pert--sonnet
f0091-sonnet,fsq-121-base--sonnet
f0091-sonnet,fsq-121-unans--sonnet
f0091-sonnet,fsq-121-pert--sonnet
f0092-sonnet,fsq-175-pert--sonnet
f0092-sonnet,fsq-108-pert--sonnet
f0092-sonnet,fsq-108-base--sonnet
f0093-sonnet,fsq-114-pert--sonnet
f0093-sonnet,fsq-114-base--sonnet
f0093-sonnet,fsq-023-unans--sonnet
f0094-sonnet,fsq-023-base--sonnet
f0094-sonnet,fsq-023-pert--sonnet
f0094-sonnet,fsq-211-unans--sonnet
f0095-sonnet,fsq-211-base--sonnet
f0095-sonnet,fsq-211-pert--sonnet
f0095-sonnet,fsq-214-base--sonnet
f0096-sonnet,fsq-214-pert--sonnet
f0096-sonnet,fsq-147-unans--sonnet
f0096-sonnet,fsq-147-base--sonnet
f0097-sonnet,fsq-147-pert--sonnet
f0097-sonnet,fsq-092-unans--sonnet
f0097-sonnet,fsq-084-unans--sonnet
f0098-sonnet,fsq-128-unans--sonnet
f0098-sonnet,fsq-120-unans--sonnet
f0098-sonnet,fsq-114-unans--sonnet
f0099-sonnet,fsq-184-unans--sonnet
f0099-sonnet,fsq-204-unans--sonnet
f0099-sonnet,fsq-140-unans--sonnet
f0100-sonnet,fsq-074-unans--sonnet
f0100-sonnet,fsq-108-unans--sonnet
f0100-sonnet,fsq-110-unans--sonnet
f0101-sonnet,fsq-058-unans--sonnet
f0101-sonnet,fsq-202-unans--sonnet
f0101-sonnet,fsq-134-unans--sonnet
f0102-sonnet,fsq-214-unans--sonnet
f0102-sonnet,fsq-008-unans--sonnet
f0102-sonnet,fsq-004-unans--sonnet
f0103-sonnet,fsq-080-unans--sonnet
f0103-sonnet,fsq-014-unans--sonnet
f0103-sonnet,fsq-180-unans--sonnet
f0104-opus,fsq-014-pert--opus
f0104-opus,fsq-014-base--opus
f0105-opus,fsq-203-unans--opus
f0105-opus,fsq-203-base--opus
f0106-opus,fsq-203-pert--opus
f0106-opus,fsq-021-unans--opus
f0107-opus,fsq-021-base--opus
f0107-opus,fsq-021-pert--opus
f0108-opus,fsq-080-base--opus
f0108-opus,fsq-080-pert--opus
f0109-opus,fsq-084-pert--opus
f0109-opus,fsq-084-base--opus
f0110-opus,fsq-004-base--opus
f0110-opus,fsq-004-pert--opus
f0111-opus,fsq-134-base--opus
f0111-opus,fsq-134-pert--opus
f0112-opus,fsq-074-pert--opus
f0112-opus,fsq-074-base--opus
f0113-opus,fsq-180-pert--opus
f0113-opus,fsq-180-base--opus
f0114-opus,fsq-202-base--opus
f0114-opus,fsq-202-pert--opus
f0115-opus,fsq-161-base--opus
f0115-opus,fsq-161-unans--opus
f0116-opus,fsq-161-pert--opus
f0116-opus,fsq-037-base--opus
f0117-opus,fsq-037-pert--opus
f0117-opus,fsq-037-unans--opus
f0118-opus,fsq-204-pert--opus
f0118-opus,fsq-204-base--opus
f0119-opus,fsq-139-unans--opus
f0119-opus,fsq-139-base--opus
f0120-opus,fsq-058-pert--opus
f0120-opus,fsq-058-base--opus
f0121-opus,fsq-109-base--opus
f0121-opus,fsq-109-unans--opus
f0122-opus,fsq-109-pert--opus
f0122-opus,fsq-139-pert--opus
f0123-opus,fsq-029-base--opus
f0123-opus,fsq-029-unans--opus
f0124-opus,fsq-029-pert--opus
f0124-opus,fsq-093-base--opus
f0125-opus,fsq-093-unans--opus
f0125-opus,fsq-093-pert--opus
f0126-opus,fsq-171-unans--opus
f0126-opus,fsq-171-base--opus
f0127-opus,fsq-110-pert--opus
f0127-opus,fsq-110-base--opus
f0128-opus,fsq-092-pert--opus
f0128-opus,fsq-092-base--opus
f0129-opus,fsq-128-base--opus
f0129-opus,fsq-128-pert--opus
f0130-opus,fsq-120-base--opus
